Sample_ID,Read1,Read2,Bam
RW33,/home/ubuntu/data/RW33/RW33_CKDL210022923-1a-D705-AK1545_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW33/RW33_CKDL210022923-1a-D705-AK1545_HMG5HDSX2_L4_2.fq.gz,NA
RW34,/home/ubuntu/data/RW34/RW34_CKDL210022923-1a-D706-AK1545_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW34/RW34_CKDL210022923-1a-D706-AK1545_HMG5HDSX2_L4_2.fq.gz,NA
RW35,/home/ubuntu/data/RW35/RW35_CKDL210022923-1a-D707-AK1545_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW35/RW35_CKDL210022923-1a-D707-AK1545_HMG5HDSX2_L4_2.fq.gz,NA
RW36,/home/ubuntu/data/RW36/RW36_CKDL210022923-1a-D708-AK1545_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW36/RW36_CKDL210022923-1a-D708-AK1545_HMG5HDSX2_L4_2.fq.gz,NA
RW37,/home/ubuntu/data/RW37/RW37_CKDL210022923-1a-D709-AK1545_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW37/RW37_CKDL210022923-1a-D709-AK1545_HMG5HDSX2_L4_2.fq.gz,NA
RW38,/home/ubuntu/data/RW38/RW38_CKDL210022923-1a-D710-AK1545_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW38/RW38_CKDL210022923-1a-D710-AK1545_HMG5HDSX2_L4_2.fq.gz,NA
RW39,/home/ubuntu/data/RW39/RW39_CKDL210022923-1a-D711-AK1545_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW39/RW39_CKDL210022923-1a-D711-AK1545_HMG5HDSX2_L4_2.fq.gz,NA
RW40,/home/ubuntu/data/RW40/RW40_CKDL210022923-1a-D701-AK1546_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW40/RW40_CKDL210022923-1a-D701-AK1546_HMG5HDSX2_L4_2.fq.gz,NA
RW41,/home/ubuntu/data/RW41/RW41_CKDL210022923-1a-D702-AK1546_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW41/RW41_CKDL210022923-1a-D702-AK1546_HMG5HDSX2_L4_2.fq.gz,NA
RW42,/home/ubuntu/data/RW42/RW42_CKDL210022923-1a-DY0088-AK1546_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW42/RW42_CKDL210022923-1a-DY0088-AK1546_HMG5HDSX2_L4_2.fq.gz,NA
RW43,/home/ubuntu/data/RW43/RW43_CKDL210022923-1a-D704-AK1546_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW43/RW43_CKDL210022923-1a-D704-AK1546_HMG5HDSX2_L4_2.fq.gz,NA
RW44,/home/ubuntu/data/RW44/RW44_CKDL210022923-1a-D705-AK1546_HMG5HDSX2_L4_1.fq.gz,/home/ubuntu/data/RW44/RW44_CKDL210022923-1a-D705-AK1546_HMG5HDSX2_L4_2.fq.gz,NA
